Name,Value,MOE
Total Civilian employed population 16 years and over,745100,3205
"Agriculture, forestry, fishing and hunting, and mining",5444,630
"Arts, entertainment, and recreation, and accommodation and food services",58340,1927
Construction,53231,1896
"Educational services, and health care and social assistance",181955,3402
"Finance and insurance, and real estate and rental and leasing",48464,1767
Information,14702,1079
Manufacturing,95347,2557
"Other services, except public administration",31389,1832
"Professional, scientific, and management, and administrative and waste management services",90017,2442
Public administration,29773,1506
Retail trade,88948,2351
"Transportation and warehousing, and utilities",29972,1422
Wholesale trade,17518,1227
