Name,Value,MOE
Total number of housing units,644253,255
Owner-occupied housing units,399663,2801
Renter-occupied housing units,151523,2502
Single-family detached units,408250,2960
Home ownership rate,72.5,0.4
Vacancy rate,14.4,0.3
Percent with a broadband internet subscription,91.8,0.4
Median owner-occupied housing unit value,367200,2362
Average housing value,424678,6294
Median selected monthly owner cost,1771,16
Average monthly owner cost (with a mortgage),1573,24
Median rent (housing),1423,16
Average rent (housing),1319,36
Median year structure built,1978,2
