Name,Value,MOE
Total number of employer and nonemployer businesses,283373,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,17870,
White-owned non-employer businesses,209420,
Black-owned non-employer businesses,4260,
American Indian- and Alaska Native-owned employer businesses,1320,
Asian-owned non-employer businesses,6310,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,70,
Hispanic-owned non-employer businesses,7010,
Female-owned non-employer businesses,89850,
Male-owned non-employer businesses,122940,
Veteran-owned non-employer businesses,14100,
