Name,Value,MOE
Establishments,66038,
Number of establishments change (2023 to 2024),1887,
Number of establishments percent change (2023 to 2024) (%),2.9,
Number of establishments location quotient,0.99,
Employment (1st month of the quarter),603517,
Employment change month 1 (1st month of the quarter in 2023 to 2024),3325,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.6,
Employment location quotient (1st month of the quarter),1.03,
Employment (2nd month of the quarter),601813,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),2711,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.5,
Employment location quotient (2nd month of the quarter),1.02,
Employment (3rd month of the quarter),604839,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),2501,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.4,
Employment location quotient (3rd month of the quarter),1.02,
Total wages ($),12704061413,
Total wages change (2023 to 2024) ($),439876966,
Total wages percent change (2023 to 2024) (%),3.6,
Total wages location quotient,1.04,
Average weekly wages ($),1620,
Average weekly wages change (2023 to 2024) ($),49,
Average weekly wages percent change (2023 to 2024) (%),3.1,
Average weekly wages location quotient,1.02,
