Name,Value,MOE
Median household income,95628,1073
Average income,124062,1505
Percent high school degree or higher,94.1,0.2
Percent Bachelor's degree or higher,39.8,0.5
Average household size,2.44,
Percent in poverty,7.2,0.2
Percent population 16 years and over in labor force,66.4,0.2
Percent employed,64,0.3
Percent disabled,13,0.2
Percent with health coverage,94.5,0.2
Percent of all workers 16 and over who commute to work,84.9,0.6
Percent who drive alone to work,73.7,0.4
Percent who carpool to work,7.1,0.3
Percent who use public transportation to commute to work,0.6,0.1
Percent who walk to work,2.2,0.1
Percent who use other means to commute to work,1.3,0.1
Percent who work from home,15.1,0.4
Average travel time to work (mins),26.8,0.4
Percent with no vehicles available,4.5,0.2
Percent with 1 vehicle available,31,0.5
Percent with 2 or more vehicles available,64.5,0.7
Percent veterans,7.9,0.2
Percent foreign born,6.2,
Percent speaking Spanish at home,2.7,0.1
Percent speaking other Indo-European languages at home,3.4,0.2
Percent speaking other Asian and Pacific Island languages at home,1.4,0.1
