Name,Value,MOE
Total consumer expenditures per household ,125399.87,
Consumer expenditures per household on Alcoholic beverages,862.94,
Consumer expenditures per household on Alcoholic beverages consumed at home,535.31,
Consumer expenditures per household on Apparel & services,3053.22,
Consumer expenditures per household on Men's Apparel,564.77,
Consumer expenditures per household on Women's Apparel,1018.1,
Consumer expenditures per household on Children's Apparel,450.75,
Consumer expenditures per household on Boys' Apparel,174.64,
Consumer expenditures per household on Girls' Apparel,160.03,
Consumer expenditures per household on Footware,638.75,
Consumer expenditures per household on Dining out (Food away from home),5067.15,
Consumer expenditures per household on Education,2338.83,
Consumer expenditures per household on Entertainment / Recreation,5165.34,
Consumer expenditures per household on Club membership fees,396.45,
Consumer expenditures per household on Dating services,1.11,
Consumer expenditures per household on Pet food,443.47,
Consumer expenditures per household on Pet services,141.76,
Consumer expenditures per household on Food consumed at home,9303.43,
Consumer expenditures per household on Bakery products consumed at home,1197.88,
Consumer expenditures per household on Dairy products consumed at home,884.23,
Consumer expenditures per household on Fruits and vegetables consumed at home,1884.16,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",2002,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,922.26,
Consumer expenditures per household on Snacks and other food products consumed at home,3335.15,
Consumer expenditures per household on Health Care,9325.11,
Consumer expenditures per household on Medical services,1909.67,
Consumer expenditures per household on Nonprescription drugs,211.22,
Consumer expenditures per household on Household Services,3515.35,
Consumer expenditures per household on Care for the elderly and handicapped,55.34,
Consumer expenditures per household on Lawn and garden services,854.3,
Consumer expenditures per household on Housekeeping services,324.16,
Consumer expenditures per household on PC repair,7.83,
Consumer expenditures per household on Housing,42221.91,
Consumer expenditures per household on Home improvements,7009.11,
"Consumer expenditures per household on Utilities, fuel, and public services",7247.91,
Consumer expenditures per household on Phone services,2358.76,
Consumer expenditures per household on Water,1189.6,
Consumer expenditures per household on Life and other insurance,844.8,
Consumer expenditures per household on Pensions and social security,13704.61,
Consumer expenditures per household on Personal Care Products and Services,1299.3,
Consumer expenditures per household on Hair care products,138.65,
Consumer expenditures per household on Personal care products,582.89,
Consumer expenditures per household on Local Transportation,13505.3,
Consumer expenditures per household on Gasoline,3869.61,
Consumer expenditures per household on Vehicle maintenance and repair,1825.13,
Consumer expenditures per household on Travel,3931.81,
Consumer expenditures per household on Airline fares,858.17,
Consumer expenditures per household on Auto/Truck rental on trips,150.01,
Consumer expenditures per household on Lodging on trips,1266.8,
Consumer expenditures per household on Food and drink on trips,957.85,
Consumer expenditures per household on Entertainment on trips,230.63,
Consumer expenditures per household on Child Care,733.05,
Consumer expenditures per household on Day Care/Nursery & Preschools,506.66,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,226.39,
