Name,Value,MOE
Total population,9267014,
Percent male,49.2,
Percent female,50.8,
Percent under 5 years,5.7,
Percent under 18 years,21.9,
Percent 18 years and over ,78.1,
Percent 21 years and over,74.5,
Percent working age (25 to 64 years),52.9,
Percent 65 years and over,16.8,
Median age,40.1,0.1
Percent White,56.93,
Percent Black or African American,12.96,
Percent American Indian and Alaska Native,0.45,
Percent Asian,9.91,
Percent Native Hawaiian and Other Pacific Islander,0.03,
Percent some other race,9.15,
Percent two or more races,10.56,
Percent Hispanic (of any race),21.94,
