Name,Value,MOE
Total Civilian employed population 16 years and over,4644770,11248
"Agriculture, forestry, fishing and hunting, and mining",14652,1096
"Arts, entertainment, and recreation, and accommodation and food services",335168,4993
Construction,285256,4909
"Educational services, and health care and social assistance",1123151,9339
"Finance and insurance, and real estate and rental and leasing",401128,4581
Information,118752,2917
Manufacturing,378966,5195
"Other services, except public administration",193846,4020
"Professional, scientific, and management, and administrative and waste management services",662154,8582
Public administration,204041,3420
Retail trade,485852,6651
"Transportation and warehousing, and utilities",306213,4946
Wholesale trade,135591,2813
