Name,Value,MOE
Total number of housing units,3775842,525
Owner-occupied housing units,2215482,11012
Renter-occupied housing units,1262873,8936
Single-family detached units,1991416,7645
Home ownership rate,63.7,0.3
Vacancy rate,7.9,0.1
Percent with a broadband internet subscription,91.8,0.1
Median owner-occupied housing unit value,427600,1335
Average housing value,510014,4420
Median selected monthly owner cost,2148,9
Average monthly owner cost (with a mortgage),1979,17
Median rent (housing),1653,6
Average rent (housing),1575,18
Median year structure built,1969,1
