Name,Value,MOE
Total population,2114768,
Percent male,49.7,
Percent female,50.3,
Percent under 5 years,5.3,
Percent under 18 years,22.1,
Percent 18 years and over ,77.9,
Percent 21 years and over,73.9,
Percent working age (25 to 64 years),49.8,
Percent 65 years and over,18.8,
Median age,39.2,0.2
Percent White,53.62,
Percent Black or African American,2.11,
Percent American Indian and Alaska Native,9.52,
Percent Asian,1.71,
Percent Native Hawaiian and Other Pacific Islander,0.1,
Percent some other race,12,
Percent two or more races,20.94,
Percent Hispanic (of any race),48.15,
