Name,Value,MOE
Total Civilian employed population 16 years and over,912332,5093
"Agriculture, forestry, fishing and hunting, and mining",34912,1690
"Arts, entertainment, and recreation, and accommodation and food services",92306,2903
Construction,67074,2342
"Educational services, and health care and social assistance",235067,3662
"Finance and insurance, and real estate and rental and leasing",42865,2003
Information,12710,915
Manufacturing,39432,2049
"Other services, except public administration",48833,2159
"Professional, scientific, and management, and administrative and waste management services",114390,2341
Public administration,68072,2459
Retail trade,98402,3166
"Transportation and warehousing, and utilities",42989,2017
Wholesale trade,15280,1144
