Name,Value,MOE
Total number of housing units,949524,264
Owner-occupied housing units,572064,4200
Renter-occupied housing units,252957,3288
Single-family detached units,613666,3809
Home ownership rate,69.3,0.4
Vacancy rate,13.1,0.3
Percent with a broadband internet subscription,84.2,0.4
Median owner-occupied housing unit value,232200,1548
Average housing value,309003,5894
Median selected monthly owner cost,912,15
Average monthly owner cost (with a mortgage),893,15
Median rent (housing),1021,12
Average rent (housing),946,21
Median year structure built,1984,1
