Name,Value,MOE
Total number of employer and nonemployer businesses,331802,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,129950,
White-owned non-employer businesses,229900,
Black-owned non-employer businesses,8280,
American Indian- and Alaska Native-owned employer businesses,18410,
Asian-owned non-employer businesses,10120,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,560,
Hispanic-owned non-employer businesses,102090,
Female-owned non-employer businesses,123170,
Male-owned non-employer businesses,133340,
Veteran-owned non-employer businesses,16100,
