Name,Value,MOE
Establishments,64882,
Number of establishments change (2023 to 2024),606,
Number of establishments percent change (2023 to 2024) (%),0.9,
Number of establishments location quotient,0.97,
Employment (1st month of the quarter),687298,
Employment change month 1 (1st month of the quarter in 2023 to 2024),4026,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.6,
Employment location quotient (1st month of the quarter),0.92,
Employment (2nd month of the quarter),687423,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),3415,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.5,
Employment location quotient (2nd month of the quarter),0.92,
Employment (3rd month of the quarter),685926,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),-765,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),-0.1,
Employment location quotient (3rd month of the quarter),0.92,
Total wages ($),10690568417,
Total wages change (2023 to 2024) ($),578525769,
Total wages percent change (2023 to 2024) (%),5.7,
Total wages location quotient,0.89,
Average weekly wages ($),1197,
Average weekly wages change (2023 to 2024) ($),61,
Average weekly wages percent change (2023 to 2024) (%),5.4,
Average weekly wages location quotient,0.97,
