Name,Value,MOE
Total consumer expenditures per household ,107842.5,
Consumer expenditures per household on Alcoholic beverages,758.82,
Consumer expenditures per household on Alcoholic beverages consumed at home,458.07,
Consumer expenditures per household on Apparel & services,2717.82,
Consumer expenditures per household on Men's Apparel,503.7,
Consumer expenditures per household on Women's Apparel,906.25,
Consumer expenditures per household on Children's Apparel,392.17,
Consumer expenditures per household on Boys' Apparel,155.4,
Consumer expenditures per household on Girls' Apparel,129.28,
Consumer expenditures per household on Footware,562.12,
Consumer expenditures per household on Dining out (Food away from home),4347.03,
Consumer expenditures per household on Education,2035.22,
Consumer expenditures per household on Entertainment / Recreation,4413.38,
Consumer expenditures per household on Club membership fees,342.66,
Consumer expenditures per household on Dating services,1.06,
Consumer expenditures per household on Pet food,389.89,
Consumer expenditures per household on Pet services,116.3,
Consumer expenditures per household on Food consumed at home,8240.37,
Consumer expenditures per household on Bakery products consumed at home,1064.74,
Consumer expenditures per household on Dairy products consumed at home,784.63,
Consumer expenditures per household on Fruits and vegetables consumed at home,1675.95,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1784.29,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,818.88,
Consumer expenditures per household on Snacks and other food products consumed at home,2930.76,
Consumer expenditures per household on Health Care,8029.88,
Consumer expenditures per household on Medical services,1619.04,
Consumer expenditures per household on Nonprescription drugs,176.8,
Consumer expenditures per household on Household Services,2994.09,
Consumer expenditures per household on Care for the elderly and handicapped,53.6,
Consumer expenditures per household on Lawn and garden services,705.14,
Consumer expenditures per household on Housekeeping services,259.75,
Consumer expenditures per household on PC repair,7.18,
Consumer expenditures per household on Housing,36334.37,
Consumer expenditures per household on Home improvements,5520.72,
"Consumer expenditures per household on Utilities, fuel, and public services",6320.57,
Consumer expenditures per household on Phone services,2082.96,
Consumer expenditures per household on Water,968.33,
Consumer expenditures per household on Life and other insurance,714.52,
Consumer expenditures per household on Pensions and social security,11565.78,
Consumer expenditures per household on Personal Care Products and Services,1108.61,
Consumer expenditures per household on Hair care products,120.85,
Consumer expenditures per household on Personal care products,482.35,
Consumer expenditures per household on Local Transportation,11672.51,
Consumer expenditures per household on Gasoline,3323.06,
Consumer expenditures per household on Vehicle maintenance and repair,1546.46,
Consumer expenditures per household on Travel,3336.1,
Consumer expenditures per household on Airline fares,725.04,
Consumer expenditures per household on Auto/Truck rental on trips,128.38,
Consumer expenditures per household on Lodging on trips,1067.44,
Consumer expenditures per household on Food and drink on trips,821.96,
Consumer expenditures per household on Entertainment on trips,193.56,
Consumer expenditures per household on Child Care,607.9,
Consumer expenditures per household on Day Care/Nursery & Preschools,406.23,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,201.66,
