Name,Value,MOE
All Employer establishments (Total),540271,
Average employment per employer,16,
Establishments with less than 5 employees,330388,
Establishments with 5 to 9 employees,88085,
Average payroll per employee,84978,
Establishments with 10 to 19 employees,58222,
Establishments with 20 to 49 employees,39641,
Establishments with 50 to 99 employees,12506,
Population per employer,37,
Establishments with 100 to 249 employees,7313,
Establishments with 250 to 499 employees,2416,
Establishments with 500 to 999 employees,1018,
"Establishments with 1,000 employees or more",682,
Total employment of employers,8429776,
"Total annual payroll of employers ($1,000)",716345662,
Number of farm operations (Ag only),17909,
Total contract and hired labor expense (Ag only),42837000,
Total operating expense (Ag only),1593056000,
Establishment Entrants,58352,
Establishment Exits,46831,
All Employer firms (Total),399172,
Firms Age 0 (startups),32936,
Firms Age 1-5 Years,100516,
Firms Age 6-10 Year,68386,
Firms Age 11+ Years,169716,
Firms born before 1977,27618,
Firms with 1 to 19 employees,365234,
Firms with 20 to 499 employees,37773,
Firms with 500 or more employees,1110,
