Name,Value,MOE
Total Civilian employed population 16 years and over,9568411,18158
"Agriculture, forestry, fishing and hunting, and mining",52954,1839
"Arts, entertainment, and recreation, and accommodation and food services",796182,8077
Construction,549110,6529
"Educational services, and health care and social assistance",2790946,14515
"Finance and insurance, and real estate and rental and leasing",769593,7734
Information,265249,5283
Manufacturing,554587,5795
"Other services, except public administration",440780,6297
"Professional, scientific, and management, and administrative and waste management services",1234322,9389
Public administration,455043,6041
Retail trade,924784,8188
"Transportation and warehousing, and utilities",547156,6573
Wholesale trade,187705,3969
