Name,Value,MOE
Total number of housing units,8539536,1410
Owner-occupied housing units,4164793,18874
Renter-occupied housing units,3504163,11141
Single-family detached units,3525897,8416
Home ownership rate,54.3,0.2
Vacancy rate,10.2,0.1
Percent with a broadband internet subscription,89.6,0.2
Median owner-occupied housing unit value,403000,1347
Average housing value,583720,4902
Median selected monthly owner cost,1664,5
Average monthly owner cost (with a mortgage),1702,14
Median rent (housing),1576,6
Average rent (housing),1645,9
Median year structure built,1958,1
