Name,Value,MOE
Total number of employer and nonemployer businesses,4425370,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,1388750,
White-owned non-employer businesses,2315100,
Black-owned non-employer businesses,464320,
American Indian- and Alaska Native-owned employer businesses,28040,
Asian-owned non-employer businesses,552240,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,5690,
Hispanic-owned non-employer businesses,509030,
Female-owned non-employer businesses,1337980,
Male-owned non-employer businesses,1904650,
Veteran-owned non-employer businesses,74060,
