Name,Value,MOE
All Employer establishments (Total),509064,
All Nonemployer firms,1829172,
Total employment of employers,8213236,
"Total annual payroll of employers ($1,000)",481777519,
"Total revenue of employers ($1,000)",2637250169,
"Revenue of nonemployer firms ($1,000)",94803428,
Establishment Entrants,52120,
Establishment Exits,41364,
All Employer firms (Total),348063,
Firms Age 0 (startups),33053,
Firms Age 1-5 Years,92982,
Firms Age 6-10 Year,52818,
Firms Age 11+ Years,146314,
Firms born before 1977,22896,
Firms with 1 to 19 employees,154958,
Firms with 20 to 499 employees,20559,
Firms with 500 or more employees,423,
"Total revenue of employers ($1,000) for Islands",n/a,
