Name,Value,MOE
Total population,10584340,
Percent male,48.9,
Percent female,51.1,
Percent under 5 years,5.7,
Percent under 18 years,21.9,
Percent 18 years and over ,78.1,
Percent 21 years and over,73.9,
Percent working age (25 to 64 years),51.7,
Percent 65 years and over,16.9,
Median age,39.1,0.1
Percent White,63.26,
Percent Black or African American,20.58,
Percent American Indian and Alaska Native,1.05,
Percent Asian,3.15,
Percent Native Hawaiian and Other Pacific Islander,0.06,
Percent some other race,4.78,
Percent two or more races,7.12,
Percent Hispanic (of any race),10.95,
