Name,Value,MOE
All Employer establishments (Total),254636,
Average employment per employer,16,
Establishments with less than 5 employees,138536,
Establishments with 5 to 9 employees,45695,
Average payroll per employee,58658,
Establishments with 10 to 19 employees,32432,
Establishments with 20 to 49 employees,24307,
Establishments with 50 to 99 employees,7870,
Population per employer,41,
Establishments with 100 to 249 employees,4011,
Establishments with 250 to 499 employees,1115,
Establishments with 500 to 999 employees,405,
"Establishments with 1,000 employees or more",265,
Total employment of employers,4106761,
"Total annual payroll of employers ($1,000)",240894189,
Number of farm operations (Ag only),21197,
Total contract and hired labor expense (Ag only),137435000,
Total operating expense (Ag only),2933664000,
Establishment Entrants,26060,
Establishment Exits,20682,
All Employer firms (Total),172754,
Firms Age 0 (startups),16522,
Firms Age 1-5 Years,46458,
Firms Age 6-10 Year,26363,
Firms Age 11+ Years,72652,
Firms born before 1977,10759,
Firms with 1 to 19 employees,154958,
Firms with 20 to 499 employees,20559,
Firms with 500 or more employees,423,
