Name,Value,MOE
Total Civilian employed population 16 years and over,4990710,12673
"Agriculture, forestry, fishing and hunting, and mining",53130,1765
"Arts, entertainment, and recreation, and accommodation and food services",429589,6205
Construction,373723,6397
"Educational services, and health care and social assistance",1124308,10019
"Finance and insurance, and real estate and rental and leasing",351217,5254
Information,81216,2787
Manufacturing,585340,6117
"Other services, except public administration",239461,4258
"Professional, scientific, and management, and administrative and waste management services",614086,7542
Public administration,203954,4121
Retail trade,559862,6738
"Transportation and warehousing, and utilities",264618,4679
Wholesale trade,110206,3227
