Name,Value,MOE
Total number of housing units,4815195,554
Owner-occupied housing units,2778672,14632
Renter-occupied housing units,1408252,9135
Single-family detached units,3144977,10233
Home ownership rate,66.4,0.3
Vacancy rate,13,0.2
Percent with a broadband internet subscription,88.6,0.2
Median owner-occupied housing unit value,259400,931
Average housing value,331641,3044
Median selected monthly owner cost,1102,6
Average monthly owner cost (with a mortgage),1110,11
Median rent (housing),1162,4
Average rent (housing),1049,11
Median year structure built,1990,1
