Name,Value,MOE
Total number of employer and nonemployer businesses,2089656,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,563210,
White-owned non-employer businesses,1268250,
Black-owned non-employer businesses,335840,
American Indian- and Alaska Native-owned employer businesses,28000,
Asian-owned non-employer businesses,79150,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,2230,
Hispanic-owned non-employer businesses,157080,
Female-owned non-employer businesses,763300,
Male-owned non-employer businesses,885500,
Veteran-owned non-employer businesses,108330,
