Name,Value,MOE
Establishments,375566,
Number of establishments change (2023 to 2024),-4574,
Number of establishments percent change (2023 to 2024) (%),-1.2,
Number of establishments location quotient,1,
Employment (1st month of the quarter),4187711,
Employment change month 1 (1st month of the quarter in 2023 to 2024),17620,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.4,
Employment location quotient (1st month of the quarter),1,
Employment (2nd month of the quarter),4207675,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),21679,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.5,
Employment location quotient (2nd month of the quarter),1,
Employment (3rd month of the quarter),4204819,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),8173,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.2,
Employment location quotient (3rd month of the quarter),1,
Total wages ($),74835745242,
Total wages change (2023 to 2024) ($),4621111032,
Total wages percent change (2023 to 2024) (%),6.6,
Total wages location quotient,1,
Average weekly wages ($),1371,
Average weekly wages change (2023 to 2024) ($),80,
Average weekly wages percent change (2023 to 2024) (%),6.2,
Average weekly wages location quotient,1,
