Name,Value,MOE
Median household income,69904,346
Average income,97403,632
Percent high school degree or higher,89.7,0.1
Percent Bachelor's degree or higher,34.7,0.3
Average household size,2.46,
Percent in poverty,13.2,0.2
Percent population 16 years and over in labor force,62.7,0.1
Percent employed,58.5,0.1
Percent disabled,13.4,0.1
Percent with health coverage,89.6,0.1
Percent of all workers 16 and over who commute to work,85.5,0.2
Percent who drive alone to work,73.3,0.2
Percent who carpool to work,8.4,0.1
Percent who use public transportation to commute to work,0.7,0
Percent who walk to work,1.6,0.1
Percent who use other means to commute to work,1.4,0
Percent who work from home,14.5,0.1
Average travel time to work (mins),25.1,0.1
Percent with no vehicles available,5.3,0.1
Percent with 1 vehicle available,31.3,0.2
Percent with 2 or more vehicles available,63.4,0.2
Percent veterans,7.6,0.1
Percent foreign born,8.7,
Percent speaking Spanish at home,8.4,0.1
Percent speaking other Indo-European languages at home,2,0.1
Percent speaking other Asian and Pacific Island languages at home,1.8,0
