Name,Value,MOE
Total consumer expenditures per household ,90952.63,
Consumer expenditures per household on Alcoholic beverages,588.46,
Consumer expenditures per household on Alcoholic beverages consumed at home,350.39,
Consumer expenditures per household on Apparel & services,2204.9,
Consumer expenditures per household on Men's Apparel,408.44,
Consumer expenditures per household on Women's Apparel,734.76,
Consumer expenditures per household on Children's Apparel,355.31,
Consumer expenditures per household on Boys' Apparel,129.2,
Consumer expenditures per household on Girls' Apparel,128.65,
Consumer expenditures per household on Footware,468.6,
Consumer expenditures per household on Dining out (Food away from home),3597.59,
Consumer expenditures per household on Education,1536.11,
Consumer expenditures per household on Entertainment / Recreation,3806.62,
Consumer expenditures per household on Club membership fees,270,
Consumer expenditures per household on Dating services,0.74,
Consumer expenditures per household on Pet food,356.55,
Consumer expenditures per household on Pet services,97.67,
Consumer expenditures per household on Food consumed at home,6768.92,
Consumer expenditures per household on Bakery products consumed at home,868.2,
Consumer expenditures per household on Dairy products consumed at home,643.88,
Consumer expenditures per household on Fruits and vegetables consumed at home,1310.13,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1456.12,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,697.32,
Consumer expenditures per household on Snacks and other food products consumed at home,2490.58,
Consumer expenditures per household on Health Care,7381.47,
Consumer expenditures per household on Medical services,1493.81,
Consumer expenditures per household on Nonprescription drugs,171.31,
Consumer expenditures per household on Household Services,2526.39,
Consumer expenditures per household on Care for the elderly and handicapped,28.76,
Consumer expenditures per household on Lawn and garden services,645.72,
Consumer expenditures per household on Housekeeping services,200.02,
Consumer expenditures per household on PC repair,5.34,
Consumer expenditures per household on Housing,29468.29,
Consumer expenditures per household on Home improvements,5094.45,
"Consumer expenditures per household on Utilities, fuel, and public services",5665.7,
Consumer expenditures per household on Phone services,1844.15,
Consumer expenditures per household on Water,884.6,
Consumer expenditures per household on Life and other insurance,619.8,
Consumer expenditures per household on Pensions and social security,9651.51,
Consumer expenditures per household on Personal Care Products and Services,895.82,
Consumer expenditures per household on Hair care products,99.37,
Consumer expenditures per household on Personal care products,379.58,
Consumer expenditures per household on Local Transportation,10638.14,
Consumer expenditures per household on Gasoline,3076.72,
Consumer expenditures per household on Vehicle maintenance and repair,1419.34,
Consumer expenditures per household on Travel,2732.34,
Consumer expenditures per household on Airline fares,545.67,
Consumer expenditures per household on Auto/Truck rental on trips,106,
Consumer expenditures per household on Lodging on trips,877.36,
Consumer expenditures per household on Food and drink on trips,681.32,
Consumer expenditures per household on Entertainment on trips,166.98,
Consumer expenditures per household on Child Care,487,
Consumer expenditures per household on Day Care/Nursery & Preschools,356.54,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,130.46,
