Name,Value,MOE
Total population,779361,
Percent male,51.2,
Percent female,48.8,
Percent under 5 years,6.6,
Percent under 18 years,23.7,
Percent 18 years and over ,76.3,
Percent 21 years and over,71.6,
Percent working age (25 to 64 years),49.1,
Percent 65 years and over,16.2,
Median age,35.7,0.1
Percent White,83.89,
Percent Black or African American,3.23,
Percent American Indian and Alaska Native,4.48,
Percent Asian,1.56,
Percent Native Hawaiian and Other Pacific Islander,0.14,
Percent some other race,1.43,
Percent two or more races,5.26,
Percent Hispanic (of any race),4.49,
