Name,Value,MOE
Total Civilian employed population 16 years and over,404575,2509
"Agriculture, forestry, fishing and hunting, and mining",33076,1398
"Arts, entertainment, and recreation, and accommodation and food services",31667,1699
Construction,29272,1295
"Educational services, and health care and social assistance",105853,2466
"Finance and insurance, and real estate and rental and leasing",23583,1025
Information,5252,517
Manufacturing,29690,1195
"Other services, except public administration",18522,1078
"Professional, scientific, and management, and administrative and waste management services",29109,1211
Public administration,19285,947
Retail trade,44426,1725
"Transportation and warehousing, and utilities",22708,1387
Wholesale trade,12132,711
