Name,Value,MOE
Total number of housing units,374866,238
Owner-occupied housing units,206123,1963
Renter-occupied housing units,118956,2073
Single-family detached units,213575,1797
Home ownership rate,63.4,0.5
Vacancy rate,13.3,0.5
Percent with a broadband internet subscription,87.5,0.4
Median owner-occupied housing unit value,241100,2406
Average housing value,280457,6160
Median selected monthly owner cost,1018,21
Average monthly owner cost (with a mortgage),981,22
Median rent (housing),934,11
Average rent (housing),911,28
Median year structure built,1981,1
