Name,Value,MOE
Total number of employer and nonemployer businesses,129134,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,12080,
White-owned non-employer businesses,103620,
Black-owned non-employer businesses,4780,
American Indian- and Alaska Native-owned employer businesses,2950,
Asian-owned non-employer businesses,1690,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,60,
Hispanic-owned non-employer businesses,2850,
Female-owned non-employer businesses,45700,
Male-owned non-employer businesses,62120,
Veteran-owned non-employer businesses,7210,
