Name,Value,MOE
Establishments,34655,
Number of establishments change (2023 to 2024),721,
Number of establishments percent change (2023 to 2024) (%),2.1,
Number of establishments location quotient,0.96,
Employment (1st month of the quarter),360137,
Employment change month 1 (1st month of the quarter in 2023 to 2024),5497,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),1.6,
Employment location quotient (1st month of the quarter),0.97,
Employment (2nd month of the quarter),357175,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),5586,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),1.6,
Employment location quotient (2nd month of the quarter),0.96,
Employment (3rd month of the quarter),353644,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),2828,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.8,
Employment location quotient (3rd month of the quarter),0.96,
Total wages ($),6271161912,
Total wages change (2023 to 2024) ($),320524338,
Total wages percent change (2023 to 2024) (%),5.4,
Total wages location quotient,0.98,
Average weekly wages ($),1351,
Average weekly wages change (2023 to 2024) ($),52,
Average weekly wages percent change (2023 to 2024) (%),4,
Average weekly wages location quotient,1.02,
