Name,Value,MOE
Beginning of Quarter Employment - All worker ages,425622,
Beginning of Quarter Employment - Worker age 14-18,15405,
Beginning of Quarter Employment - Worker age 19-21,22583,
Beginning of Quarter Employment - Worker age 22-24,26469,
Beginning of Quarter Employment - Worker age 25-34,89901,
Beginning of Quarter Employment - Worker age 35-44,98570,
Beginning of Quarter Employment - Worker age 45-54,77649,
Beginning of Quarter Employment - Worker age 55-64,63217,
Beginning of Quarter Employment - Worker age 65-99,31828,
All Hires - All educational attainment,69564,
All Hires - Less than High School education,7402,
All Hires - High School education,14906,
All Hires - Associates degree (some college),16434,
All Hires - Bachelor's degree or higher,11085,
Separations,n/a,
Firm Job Gains,n/a,
Firm Job Loss,n/a,
Firm Job Change,n/a,
Average Monthly Earnings ($),n/a,
