Name,Value,MOE
All Employer establishments (Total),509030,
All Nonemployer firms,1796902,
Total employment of employers,9927424,
"Total annual payroll of employers ($1,000)",570662469,
"Total revenue of employers ($1,000)",3448311828,
"Revenue of nonemployer firms ($1,000)",96632640,
Establishment Entrants,43052,
Establishment Exits,39982,
All Employer firms (Total),337244,
Firms Age 0 (startups),24320,
Firms Age 1-5 Years,71573,
Firms Age 6-10 Year,45601,
Firms Age 11+ Years,156197,
Firms born before 1977,39553,
Firms with 1 to 19 employees,146048,
Firms with 20 to 499 employees,24479,
Firms with 500 or more employees,537,
"Total revenue of employers ($1,000) for Islands",n/a,
