Name,Value,MOE
Total consumer expenditures per household ,85771.9,
Consumer expenditures per household on Alcoholic beverages,555.17,
Consumer expenditures per household on Alcoholic beverages consumed at home,335.44,
Consumer expenditures per household on Apparel & services,2063.79,
Consumer expenditures per household on Men's Apparel,384.66,
Consumer expenditures per household on Women's Apparel,695.09,
Consumer expenditures per household on Children's Apparel,324.92,
Consumer expenditures per household on Boys' Apparel,121.15,
Consumer expenditures per household on Girls' Apparel,117.96,
Consumer expenditures per household on Footware,427.59,
Consumer expenditures per household on Dining out (Food away from home),3352.67,
Consumer expenditures per household on Education,1465.48,
Consumer expenditures per household on Entertainment / Recreation,3582.79,
Consumer expenditures per household on Club membership fees,261.01,
Consumer expenditures per household on Dating services,0.72,
Consumer expenditures per household on Pet food,335.67,
Consumer expenditures per household on Pet services,90.86,
Consumer expenditures per household on Food consumed at home,6405.69,
Consumer expenditures per household on Bakery products consumed at home,826.25,
Consumer expenditures per household on Dairy products consumed at home,606.53,
Consumer expenditures per household on Fruits and vegetables consumed at home,1238.06,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1376.33,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,664.39,
Consumer expenditures per household on Snacks and other food products consumed at home,2358.52,
Consumer expenditures per household on Health Care,7102.03,
Consumer expenditures per household on Medical services,1396.97,
Consumer expenditures per household on Nonprescription drugs,163,
Consumer expenditures per household on Household Services,2405.6,
Consumer expenditures per household on Care for the elderly and handicapped,30.25,
Consumer expenditures per household on Lawn and garden services,628.66,
Consumer expenditures per household on Housekeeping services,193.46,
Consumer expenditures per household on PC repair,5.09,
Consumer expenditures per household on Housing,27683.75,
Consumer expenditures per household on Home improvements,4895.85,
"Consumer expenditures per household on Utilities, fuel, and public services",5444.5,
Consumer expenditures per household on Phone services,1751.9,
Consumer expenditures per household on Water,847.18,
Consumer expenditures per household on Life and other insurance,602.72,
Consumer expenditures per household on Pensions and social security,9020,
Consumer expenditures per household on Personal Care Products and Services,838.83,
Consumer expenditures per household on Hair care products,93.34,
Consumer expenditures per household on Personal care products,355.17,
Consumer expenditures per household on Local Transportation,9996.11,
Consumer expenditures per household on Gasoline,2892.74,
Consumer expenditures per household on Vehicle maintenance and repair,1327.11,
Consumer expenditures per household on Travel,2558.87,
Consumer expenditures per household on Airline fares,500.64,
Consumer expenditures per household on Auto/Truck rental on trips,99.55,
Consumer expenditures per household on Lodging on trips,837.25,
Consumer expenditures per household on Food and drink on trips,636.55,
Consumer expenditures per household on Entertainment on trips,155.28,
Consumer expenditures per household on Child Care,452.33,
Consumer expenditures per household on Day Care/Nursery & Preschools,329.79,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,122.54,
