Name,Value,MOE
Total Civilian employed population 16 years and over,5694732,11421
"Agriculture, forestry, fishing and hunting, and mining",52062,2091
"Arts, entertainment, and recreation, and accommodation and food services",483721,6195
Construction,335813,4618
"Educational services, and health care and social assistance",1376701,9780
"Finance and insurance, and real estate and rental and leasing",371181,5405
Information,79084,2350
Manufacturing,847197,8126
"Other services, except public administration",245471,3593
"Professional, scientific, and management, and administrative and waste management services",577031,5549
Public administration,224954,4259
Retail trade,634419,7177
"Transportation and warehousing, and utilities",335008,5422
Wholesale trade,132090,2934
