Name,Value,MOE
Total number of housing units,5271573,770
Owner-occupied housing units,3235568,14132
Renter-occupied housing units,1594003,8838
Single-family detached units,3634026,7715
Home ownership rate,67,0.3
Vacancy rate,8.4,0.2
Percent with a broadband internet subscription,88.8,0.2
Median owner-occupied housing unit value,199200,485
Average housing value,247847,1844
Median selected monthly owner cost,1087,4
Average monthly owner cost (with a mortgage),1039,7
Median rent (housing),988,3
Average rent (housing),886,8
Median year structure built,1970,1
