Name,Value,MOE
Total number of employer and nonemployer businesses,2085298,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,362740,
White-owned non-employer businesses,1401900,
Black-owned non-employer businesses,249770,
American Indian- and Alaska Native-owned employer businesses,11350,
Asian-owned non-employer businesses,58720,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,1450,
Hispanic-owned non-employer businesses,57830,
Female-owned non-employer businesses,721900,
Male-owned non-employer businesses,937000,
Veteran-owned non-employer businesses,90590,
