Name,Value,MOE
Median household income,69680,287
Average income,94766,432
Percent high school degree or higher,91.6,0.1
Percent Bachelor's degree or higher,30.9,0.2
Average household size,2.38,
Percent in poverty,13.2,0.2
Percent population 16 years and over in labor force,63.3,0.1
Percent employed,60.1,0.1
Percent disabled,14.2,0.1
Percent with health coverage,93.6,0.1
Percent of all workers 16 and over who commute to work,88.5,0.2
Percent who drive alone to work,76.6,0.2
Percent who carpool to work,7.5,0.1
Percent who use public transportation to commute to work,1.1,0
Percent who walk to work,2,0.1
Percent who use other means to commute to work,1.3,0
Percent who work from home,11.5,0.1
Average travel time to work (mins),23.6,0.1
Percent with no vehicles available,7.4,0.1
Percent with 1 vehicle available,33.7,0.2
Percent with 2 or more vehicles available,58.9,0.2
Percent veterans,6.8,0.1
Percent foreign born,5,
Percent speaking Spanish at home,2.5,0
Percent speaking other Indo-European languages at home,2.8,0.1
Percent speaking other Asian and Pacific Island languages at home,1.3,0
