Name,Value,MOE
All Employer establishments (Total),191409,
All Nonemployer firms,646128,
Total employment of employers,2780795,
"Total annual payroll of employers ($1,000)",147075705,
"Total revenue of employers ($1,000)",915356502,
"Revenue of nonemployer firms ($1,000)",36932884,
Establishment Entrants,17090,
Establishment Exits,16804,
All Employer firms (Total),133729,
Firms Age 0 (startups),10466,
Firms Age 1-5 Years,31991,
Firms Age 6-10 Year,19863,
Firms Age 11+ Years,60016,
Firms born before 1977,11393,
Firms with 1 to 19 employees,59552,
Firms with 20 to 499 employees,8108,
Firms with 500 or more employees,142,
"Total revenue of employers ($1,000) for Islands",n/a,
