Name,Value,MOE
Total consumer expenditures per household ,79045.72,
Consumer expenditures per household on Alcoholic beverages,496.92,
Consumer expenditures per household on Alcoholic beverages consumed at home,302.77,
Consumer expenditures per household on Apparel & services,1894.66,
Consumer expenditures per household on Men's Apparel,350.87,
Consumer expenditures per household on Women's Apparel,641.03,
Consumer expenditures per household on Children's Apparel,307.11,
Consumer expenditures per household on Boys' Apparel,113.33,
Consumer expenditures per household on Girls' Apparel,112.9,
Consumer expenditures per household on Footware,395.56,
Consumer expenditures per household on Dining out (Food away from home),3128.84,
Consumer expenditures per household on Education,1276.85,
Consumer expenditures per household on Entertainment / Recreation,3283.61,
Consumer expenditures per household on Club membership fees,227.98,
Consumer expenditures per household on Dating services,0.66,
Consumer expenditures per household on Pet food,317.65,
Consumer expenditures per household on Pet services,82.34,
Consumer expenditures per household on Food consumed at home,5936.19,
Consumer expenditures per household on Bakery products consumed at home,760.98,
Consumer expenditures per household on Dairy products consumed at home,559.35,
Consumer expenditures per household on Fruits and vegetables consumed at home,1137.48,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1282.45,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,623.11,
Consumer expenditures per household on Snacks and other food products consumed at home,2195.93,
Consumer expenditures per household on Health Care,6558.02,
Consumer expenditures per household on Medical services,1271.2,
Consumer expenditures per household on Nonprescription drugs,154.78,
Consumer expenditures per household on Household Services,2217.01,
Consumer expenditures per household on Care for the elderly and handicapped,24.42,
Consumer expenditures per household on Lawn and garden services,580.82,
Consumer expenditures per household on Housekeeping services,178.6,
Consumer expenditures per household on PC repair,4.59,
Consumer expenditures per household on Housing,25379.77,
Consumer expenditures per household on Home improvements,4481.33,
"Consumer expenditures per household on Utilities, fuel, and public services",5110.69,
Consumer expenditures per household on Phone services,1649.14,
Consumer expenditures per household on Water,807.17,
Consumer expenditures per household on Life and other insurance,549.36,
Consumer expenditures per household on Pensions and social security,8189.83,
Consumer expenditures per household on Personal Care Products and Services,771.07,
Consumer expenditures per household on Hair care products,84.72,
Consumer expenditures per household on Personal care products,323.13,
Consumer expenditures per household on Local Transportation,9424.41,
Consumer expenditures per household on Gasoline,2771.14,
Consumer expenditures per household on Vehicle maintenance and repair,1236.01,
Consumer expenditures per household on Travel,2316.95,
Consumer expenditures per household on Airline fares,449.17,
Consumer expenditures per household on Auto/Truck rental on trips,89.3,
Consumer expenditures per household on Lodging on trips,760.13,
Consumer expenditures per household on Food and drink on trips,575.8,
Consumer expenditures per household on Entertainment on trips,140,
Consumer expenditures per household on Child Care,407.83,
Consumer expenditures per household on Day Care/Nursery & Preschools,297.9,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,109.93,
