Name,Value,MOE
Total population,3995260,
Percent male,49.8,
Percent female,50.2,
Percent under 5 years,6.2,
Percent under 18 years,24.1,
Percent 18 years and over ,75.9,
Percent 21 years and over,71.6,
Percent working age (25 to 64 years),50,
Percent 65 years and over,16.1,
Median age,36.9,0.1
Percent White,66.79,
Percent Black or African American,7.07,
Percent American Indian and Alaska Native,7.39,
Percent Asian,2.34,
Percent Native Hawaiian and Other Pacific Islander,0.19,
Percent some other race,3.42,
Percent two or more races,12.79,
Percent Hispanic (of any race),12.28,
