Name,Value,MOE
All Employer establishments (Total),95748,
Average employment per employer,15,
Establishments with less than 5 employees,52192,
Establishments with 5 to 9 employees,17886,
Average payroll per employee,52889,
Establishments with 10 to 19 employees,12244,
Establishments with 20 to 49 employees,8822,
Establishments with 50 to 99 employees,2704,
Population per employer,41,
Establishments with 100 to 249 employees,1358,
Establishments with 250 to 499 employees,349,
Establishments with 500 to 999 employees,124,
"Establishments with 1,000 employees or more",69,
Total employment of employers,1390468,
"Total annual payroll of employers ($1,000)",73540249,
Number of farm operations (Ag only),19508,
Total contract and hired labor expense (Ag only),19734000,
Total operating expense (Ag only),1275117000,
Establishment Entrants,8545,
Establishment Exits,8402,
All Employer firms (Total),66286,
Firms Age 0 (startups),5232,
Firms Age 1-5 Years,15987,
Firms Age 6-10 Year,9911,
Firms Age 11+ Years,29773,
Firms born before 1977,5383,
Firms with 1 to 19 employees,59552,
Firms with 20 to 499 employees,8108,
Firms with 500 or more employees,142,
