Name,Value,MOE
Total Civilian employed population 16 years and over,1808400,5422
"Agriculture, forestry, fishing and hunting, and mining",70517,1844
"Arts, entertainment, and recreation, and accommodation and food services",165842,3223
Construction,130633,2238
"Educational services, and health care and social assistance",416261,4192
"Finance and insurance, and real estate and rental and leasing",99468,2063
Information,25994,1107
Manufacturing,169093,2740
"Other services, except public administration",92278,2359
"Professional, scientific, and management, and administrative and waste management services",165980,2617
Public administration,111864,2140
Retail trade,213050,3432
"Transportation and warehousing, and utilities",107007,2363
Wholesale trade,40413,1465
