Name,Value,MOE
Total number of housing units,1763036,1066
Owner-occupied housing units,1015207,4660
Renter-occupied housing units,527573,3722
Single-family detached units,1282915,4096
Home ownership rate,65.8,0.3
Vacancy rate,12.5,0.2
Percent with a broadband internet subscription,87.2,0.2
Median owner-occupied housing unit value,185900,1137
Average housing value,240322,3399
Median selected monthly owner cost,953,6
Average monthly owner cost (with a mortgage),910,9
Median rent (housing),980,5
Average rent (housing),840,11
Median year structure built,1980,1
