Name,Value,MOE
Establishments,123697,
Number of establishments change (2023 to 2024),-1847,
Number of establishments percent change (2023 to 2024) (%),-1.5,
Number of establishments location quotient,0.98,
Employment (1st month of the quarter),1363932,
Employment change month 1 (1st month of the quarter in 2023 to 2024),10850,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.8,
Employment location quotient (1st month of the quarter),0.94,
Employment (2nd month of the quarter),1369606,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),12403,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.9,
Employment location quotient (2nd month of the quarter),0.94,
Employment (3rd month of the quarter),1368019,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),9284,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.7,
Employment location quotient (3rd month of the quarter),0.94,
Total wages ($),20727471267,
Total wages change (2023 to 2024) ($),1050767468,
Total wages percent change (2023 to 2024) (%),5.3,
Total wages location quotient,0.93,
Average weekly wages ($),1166,
Average weekly wages change (2023 to 2024) ($),50,
Average weekly wages percent change (2023 to 2024) (%),4.5,
Average weekly wages location quotient,0.99,
