Name,Value,MOE
Median household income,63603,419
Average income,87325,626
Percent high school degree or higher,89.1,0.1
Percent Bachelor's degree or higher,27.8,0.2
Average household size,2.51,
Percent in poverty,15.3,0.2
Percent population 16 years and over in labor force,61.3,0.2
Percent employed,57.5,0.2
Percent disabled,16.8,0.1
Percent with health coverage,86.6,0.2
Percent of all workers 16 and over who commute to work,91.5,0.2
Percent who drive alone to work,78.7,0.2
Percent who carpool to work,9.4,0.2
Percent who use public transportation to commute to work,0.3,0
Percent who walk to work,1.7,0.1
Percent who use other means to commute to work,1.5,0.1
Percent who work from home,8.5,0.2
Average travel time to work (mins),22.4,0.2
Percent with no vehicles available,5.5,0.1
Percent with 1 vehicle available,32.3,0.3
Percent with 2 or more vehicles available,62.2,0.3
Percent veterans,8.2,0.1
Percent foreign born,6.3,
Percent speaking Spanish at home,7.9,0.1
Percent speaking other Indo-European languages at home,1,0.1
Percent speaking other Asian and Pacific Island languages at home,1.6,0.1
