Name,Value,MOE
Total consumer expenditures per household ,98291.53,
Consumer expenditures per household on Alcoholic beverages,656.71,
Consumer expenditures per household on Alcoholic beverages consumed at home,405.96,
Consumer expenditures per household on Apparel & services,2338.52,
Consumer expenditures per household on Men's Apparel,432.71,
Consumer expenditures per household on Women's Apparel,791.34,
Consumer expenditures per household on Children's Apparel,350.82,
Consumer expenditures per household on Boys' Apparel,131.88,
Consumer expenditures per household on Girls' Apparel,126.61,
Consumer expenditures per household on Footware,492.65,
Consumer expenditures per household on Dining out (Food away from home),3923.79,
Consumer expenditures per household on Education,1713.84,
Consumer expenditures per household on Entertainment / Recreation,4087.84,
Consumer expenditures per household on Club membership fees,295.6,
Consumer expenditures per household on Dating services,0.85,
Consumer expenditures per household on Pet food,366.83,
Consumer expenditures per household on Pet services,109.88,
Consumer expenditures per household on Food consumed at home,7279.54,
Consumer expenditures per household on Bakery products consumed at home,935.1,
Consumer expenditures per household on Dairy products consumed at home,694.7,
Consumer expenditures per household on Fruits and vegetables consumed at home,1447.31,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1561.67,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,731.7,
Consumer expenditures per household on Snacks and other food products consumed at home,2640.76,
Consumer expenditures per household on Health Care,7629.19,
Consumer expenditures per household on Medical services,1546.99,
Consumer expenditures per household on Nonprescription drugs,177.43,
Consumer expenditures per household on Household Services,2752.88,
Consumer expenditures per household on Care for the elderly and handicapped,39.95,
Consumer expenditures per household on Lawn and garden services,691.04,
Consumer expenditures per household on Housekeeping services,246.32,
Consumer expenditures per household on PC repair,6.01,
Consumer expenditures per household on Housing,32656.13,
Consumer expenditures per household on Home improvements,5624.15,
"Consumer expenditures per household on Utilities, fuel, and public services",5851.93,
Consumer expenditures per household on Phone services,1896.12,
Consumer expenditures per household on Water,952.29,
Consumer expenditures per household on Life and other insurance,663.43,
Consumer expenditures per household on Pensions and social security,10490.09,
Consumer expenditures per household on Personal Care Products and Services,1003.98,
Consumer expenditures per household on Hair care products,107.59,
Consumer expenditures per household on Personal care products,444.95,
Consumer expenditures per household on Local Transportation,10921.85,
Consumer expenditures per household on Gasoline,3155.94,
Consumer expenditures per household on Vehicle maintenance and repair,1483.33,
Consumer expenditures per household on Travel,3042.38,
Consumer expenditures per household on Airline fares,644.57,
Consumer expenditures per household on Auto/Truck rental on trips,115.67,
Consumer expenditures per household on Lodging on trips,979.53,
Consumer expenditures per household on Food and drink on trips,746.07,
Consumer expenditures per household on Entertainment on trips,178.21,
Consumer expenditures per household on Child Care,541.19,
Consumer expenditures per household on Day Care/Nursery & Preschools,382.93,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,158.27,
