Name,Value,MOE
Total population,4238714,
Percent male,49.9,
Percent female,50.1,
Percent under 5 years,5,
Percent under 18 years,20.2,
Percent 18 years and over ,79.8,
Percent 21 years and over,76.2,
Percent working age (25 to 64 years),52.6,
Percent 65 years and over,18.6,
Median age,40.1,0.2
Percent White,76.62,
Percent Black or African American,1.93,
Percent American Indian and Alaska Native,1.09,
Percent Asian,4.45,
Percent Native Hawaiian and Other Pacific Islander,0.4,
Percent some other race,4.69,
Percent two or more races,10.82,
Percent Hispanic (of any race),14.28,
