Name,Value,MOE
Total Civilian employed population 16 years and over,2051335,6599
"Agriculture, forestry, fishing and hunting, and mining",56898,2320
"Arts, entertainment, and recreation, and accommodation and food services",184979,3944
Construction,137598,3887
"Educational services, and health care and social assistance",483406,5281
"Finance and insurance, and real estate and rental and leasing",111723,2732
Information,32270,1509
Manufacturing,221349,3834
"Other services, except public administration",92299,2601
"Professional, scientific, and management, and administrative and waste management services",244172,3835
Public administration,98824,2700
Retail trade,245184,3804
"Transportation and warehousing, and utilities",94303,2387
Wholesale trade,48330,1913
