Name,Value,MOE
Total number of housing units,1838631,399
Owner-occupied housing units,1078343,6224
Renter-occupied housing units,623205,5298
Single-family detached units,1156941,4812
Home ownership rate,63.4,0.3
Vacancy rate,7.5,0.2
Percent with a broadband internet subscription,91.6,0.2
Median owner-occupied housing unit value,454200,1608
Average housing value,514854,5222
Median selected monthly owner cost,1572,10
Average monthly owner cost (with a mortgage),1494,16
Median rent (housing),1450,7
Average rent (housing),1363,19
Median year structure built,1980,1
