Name,Value,MOE
Total number of employer and nonemployer businesses,813901,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,117020,
White-owned non-employer businesses,562200,
Black-owned non-employer businesses,19910,
American Indian- and Alaska Native-owned employer businesses,12390,
Asian-owned non-employer businesses,38150,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,3470,
Hispanic-owned non-employer businesses,52200,
Female-owned non-employer businesses,289460,
Male-owned non-employer businesses,307990,
Veteran-owned non-employer businesses,31100,
