Name,Value,MOE
Establishments,184794,
Number of establishments change (2023 to 2024),-5356,
Number of establishments percent change (2023 to 2024) (%),-2.8,
Number of establishments location quotient,0.99,
Employment (1st month of the quarter),1708967,
Employment change month 1 (1st month of the quarter in 2023 to 2024),5762,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.3,
Employment location quotient (1st month of the quarter),1,
Employment (2nd month of the quarter),1690941,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),-6626,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),-0.4,
Employment location quotient (2nd month of the quarter),0.99,
Employment (3rd month of the quarter),1686570,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),-8253,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),-0.5,
Employment location quotient (3rd month of the quarter),0.99,
Total wages ($),31043837085,
Total wages change (2023 to 2024) ($),1587792786,
Total wages percent change (2023 to 2024) (%),5.4,
Total wages location quotient,0.98,
Average weekly wages ($),1408,
Average weekly wages change (2023 to 2024) ($),74,
Average weekly wages percent change (2023 to 2024) (%),5.5,
Average weekly wages location quotient,0.98,
