Name,Value,MOE
Median household income,80426,573
Average income,108321,844
Percent high school degree or higher,91.7,0.2
Percent Bachelor's degree or higher,36.2,0.3
Average household size,2.43,
Percent in poverty,11.9,0.2
Percent population 16 years and over in labor force,62.3,0.2
Percent employed,58.9,0.2
Percent disabled,15.1,0.1
Percent with health coverage,93.8,0.1
Percent of all workers 16 and over who commute to work,83,0.4
Percent who drive alone to work,65.8,0.4
Percent who carpool to work,8.6,0.2
Percent who use public transportation to commute to work,2.6,0.1
Percent who walk to work,3.3,0.1
Percent who use other means to commute to work,2.7,0.1
Percent who work from home,17,0.3
Average travel time to work (mins),23.2,0.2
Percent with no vehicles available,7.1,0.2
Percent with 1 vehicle available,31.3,0.3
Percent with 2 or more vehicles available,61.6,0.4
Percent veterans,7.5,0.1
Percent foreign born,9.7,
Percent speaking Spanish at home,9,0.1
Percent speaking other Indo-European languages at home,2.5,0.1
Percent speaking other Asian and Pacific Island languages at home,3,0.1
