Name,Value,MOE
Beginning of Quarter Employment - All worker ages,1971631,
Beginning of Quarter Employment - Worker age 14-18,43577,
Beginning of Quarter Employment - Worker age 19-21,76362,
Beginning of Quarter Employment - Worker age 22-24,98246,
Beginning of Quarter Employment - Worker age 25-34,407518,
Beginning of Quarter Employment - Worker age 35-44,446403,
Beginning of Quarter Employment - Worker age 45-54,414729,
Beginning of Quarter Employment - Worker age 55-64,315280,
Beginning of Quarter Employment - Worker age 65-99,169514,
All Hires - All educational attainment,297958,
All Hires - Less than High School education,36084,
All Hires - High School education,61916,
All Hires - Associates degree (some college),71829,
All Hires - Bachelor's degree or higher,59400,
Separations,n/a,
Firm Job Gains,n/a,
Firm Job Loss,n/a,
Firm Job Change,n/a,
Average Monthly Earnings ($),n/a,
