Name,Value,MOE
All Employer establishments (Total),615192,
All Nonemployer firms,1877528,
Total employment of employers,11169404,
"Total annual payroll of employers ($1,000)",682873755,
"Total revenue of employers ($1,000)",3764532157,
"Revenue of nonemployer firms ($1,000)",109627034,
Establishment Entrants,55102,
Establishment Exits,45678,
All Employer firms (Total),424862,
Firms Age 0 (startups),30360,
Firms Age 1-5 Years,91783,
Firms Age 6-10 Year,60864,
Firms Age 11+ Years,197180,
Firms born before 1977,44675,
Firms with 1 to 19 employees,186869,
Firms with 20 to 499 employees,27653,
Firms with 500 or more employees,609,
"Total revenue of employers ($1,000) for Islands",n/a,
