Name,Value,MOE
Total Civilian employed population 16 years and over,6315752,13517
"Agriculture, forestry, fishing and hunting, and mining",75354,2144
"Arts, entertainment, and recreation, and accommodation and food services",478688,5024
Construction,382376,5215
"Educational services, and health care and social assistance",1676795,9699
"Finance and insurance, and real estate and rental and leasing",416324,6037
Information,96795,2560
Manufacturing,724231,5552
"Other services, except public administration",290442,4319
"Professional, scientific, and management, and administrative and waste management services",701043,7263
Public administration,250010,4622
Retail trade,691539,5801
"Transportation and warehousing, and utilities",381042,4362
Wholesale trade,151113,3401
