Name,Value,MOE
Total number of housing units,5779663,1198
Owner-occupied housing units,3629624,16015
Renter-occupied housing units,1605715,10198
Single-family detached units,3278823,9160
Home ownership rate,69.3,0.3
Vacancy rate,9.4,0.1
Percent with a broadband internet subscription,88.5,0.2
Median owner-occupied housing unit value,240500,622
Average housing value,301324,2320
Median selected monthly owner cost,1185,4
Average monthly owner cost (with a mortgage),1157,9
Median rent (housing),1162,4
Average rent (housing),1083,11
Median year structure built,1965,1
