Name,Value,MOE
Total number of employer and nonemployer businesses,2239191,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,387500,
White-owned non-employer businesses,1483100,
Black-owned non-employer businesses,185540,
American Indian- and Alaska Native-owned employer businesses,10010,
Asian-owned non-employer businesses,99240,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,1870,
Hispanic-owned non-employer businesses,121650,
Female-owned non-employer businesses,707900,
Male-owned non-employer businesses,1010300,
Veteran-owned non-employer businesses,77930,
