Name,Value,MOE
Total consumer expenditures per household ,102705.14,
Consumer expenditures per household on Alcoholic beverages,700.7,
Consumer expenditures per household on Alcoholic beverages consumed at home,429.86,
Consumer expenditures per household on Apparel & services,2495.54,
Consumer expenditures per household on Men's Apparel,467.02,
Consumer expenditures per household on Women's Apparel,834.51,
Consumer expenditures per household on Children's Apparel,370.54,
Consumer expenditures per household on Boys' Apparel,139.3,
Consumer expenditures per household on Girls' Apparel,131.8,
Consumer expenditures per household on Footware,524.56,
Consumer expenditures per household on Dining out (Food away from home),4123.44,
Consumer expenditures per household on Education,1891.7,
Consumer expenditures per household on Entertainment / Recreation,4246.78,
Consumer expenditures per household on Club membership fees,319.28,
Consumer expenditures per household on Dating services,0.97,
Consumer expenditures per household on Pet food,364.36,
Consumer expenditures per household on Pet services,114.35,
Consumer expenditures per household on Food consumed at home,7668.18,
Consumer expenditures per household on Bakery products consumed at home,989.34,
Consumer expenditures per household on Dairy products consumed at home,729.76,
Consumer expenditures per household on Fruits and vegetables consumed at home,1539.68,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1646.25,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,765.21,
Consumer expenditures per household on Snacks and other food products consumed at home,2763.15,
Consumer expenditures per household on Health Care,7802.61,
Consumer expenditures per household on Medical services,1593.95,
Consumer expenditures per household on Nonprescription drugs,179.21,
Consumer expenditures per household on Household Services,2866.78,
Consumer expenditures per household on Care for the elderly and handicapped,43.13,
Consumer expenditures per household on Lawn and garden services,695.83,
Consumer expenditures per household on Housekeeping services,253.26,
Consumer expenditures per household on PC repair,6.42,
Consumer expenditures per household on Housing,34389.88,
Consumer expenditures per household on Home improvements,5647.66,
"Consumer expenditures per household on Utilities, fuel, and public services",6032.64,
Consumer expenditures per household on Phone services,1964.66,
Consumer expenditures per household on Water,958.95,
Consumer expenditures per household on Life and other insurance,688.95,
Consumer expenditures per household on Pensions and social security,11031.8,
Consumer expenditures per household on Personal Care Products and Services,1062.46,
Consumer expenditures per household on Hair care products,114.8,
Consumer expenditures per household on Personal care products,474.15,
Consumer expenditures per household on Local Transportation,11223.97,
Consumer expenditures per household on Gasoline,3201,
Consumer expenditures per household on Vehicle maintenance and repair,1529.21,
Consumer expenditures per household on Travel,3175.87,
Consumer expenditures per household on Airline fares,683.67,
Consumer expenditures per household on Auto/Truck rental on trips,123.16,
Consumer expenditures per household on Lodging on trips,1018.66,
Consumer expenditures per household on Food and drink on trips,779.31,
Consumer expenditures per household on Entertainment on trips,186.52,
Consumer expenditures per household on Child Care,583.48,
Consumer expenditures per household on Day Care/Nursery & Preschools,412.99,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,170.49,
