Name,Value,MOE
Total population,1095371,
Percent male,49,
Percent female,51,
Percent under 5 years,4.9,
Percent under 18 years,19,
Percent 18 years and over ,81,
Percent 21 years and over,76.1,
Percent working age (25 to 64 years),52.6,
Percent 65 years and over,18.3,
Median age,40.5,0.2
Percent White,72.34,
Percent Black or African American,5.83,
Percent American Indian and Alaska Native,0.44,
Percent Asian,3.48,
Percent Native Hawaiian and Other Pacific Islander,0.06,
Percent some other race,7.14,
Percent two or more races,10.7,
Percent Hispanic (of any race),17.12,
