Name,Value,MOE
All Employer establishments (Total),29490,
Average employment per employer,15,
Establishments with less than 5 employees,16495,
Establishments with 5 to 9 employees,5297,
Average payroll per employee,59082,
Establishments with 10 to 19 employees,3624,
Establishments with 20 to 49 employees,2661,
Establishments with 50 to 99 employees,786,
Population per employer,37,
Establishments with 100 to 249 employees,439,
Establishments with 250 to 499 employees,114,
Establishments with 500 to 999 employees,50,
"Establishments with 1,000 employees or more",24,
Total employment of employers,439021,
"Total annual payroll of employers ($1,000)",25938110,
Number of farm operations (Ag only),530,
Total contract and hired labor expense (Ag only),n/a,
Total operating expense (Ag only),38473000,
Establishment Entrants,3012,
Establishment Exits,2192,
All Employer firms (Total),22121,
Firms Age 0 (startups),1675,
Firms Age 1-5 Years,4644,
Firms Age 6-10 Year,3005,
Firms Age 11+ Years,10163,
Firms born before 1977,2634,
Firms with 1 to 19 employees,19705,
Firms with 20 to 499 employees,2759,
Firms with 500 or more employees,57,
