Name,Value,MOE
Total Civilian employed population 16 years and over,555915,4422
"Agriculture, forestry, fishing and hunting, and mining",2938,448
"Arts, entertainment, and recreation, and accommodation and food services",50814,1992
Construction,35528,1775
"Educational services, and health care and social assistance",148337,2929
"Finance and insurance, and real estate and rental and leasing",37850,1756
Information,7817,833
Manufacturing,60762,2472
"Other services, except public administration",23432,1243
"Professional, scientific, and management, and administrative and waste management services",63445,2158
Public administration,23841,1352
Retail trade,62314,1886
"Transportation and warehousing, and utilities",26958,1595
Wholesale trade,11879,985
